city,property_type,page_url,location,price,area,beds,baths
Islamabad,House,zameen.com/Property/islamabad_koral_chowk_3_5_marla_ready_to_move_triple_story_house_for_sale_in_koral_chowk-42658923-10701-1.html,"Koral Chowk, Islamabad",1.05 Crore,3.5 Marla,4,3
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_h_brand_new_house_avaliable_for_sale-42332817-11983-1.html,"Bahria Enclave - Sector H, Bahria Enclave",2.08 Crore,5 Marla,4,4
Islamabad,House,zameen.com/Property/islamabad_f_8_f_8_3_front_open_500_sq_y_old_demolishable_house_4_beds_17crore-42495939-166-1.html,"F-8, Islamabad",17 Crore,1 Kanal,7,6
Islamabad,House,zameen.com/Property/bahria_town_bahria_enclave_one_kanal_triple_storey_furnished_designer_house_is_available_for_sale_in_bahria_enclave_islamabad-42700846-1705-1.html,"Bahria Enclave, Bahria Town",16 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/islamabad_f_11_f11_front_open_666_sq_y_double_storey_6_beds_2_kitchens_20_crore-42693839-163-1.html,"F-11, Islamabad",20 Crore,1.3 Kanal,6,4
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_luxury_brand_new_6_bedroom_house-42752090-339-1.html,"DHA Defence Phase 2, DHA Defence",8.5 Crore,1 Kanal,4,6
Islamabad,House,zameen.com/Property/islamabad_g_13_25_40_like_that_brand_new_proper_street_corner_with_extra_land_house_available_for_sale_in_g13_islamabad-42776364-330-1.html,"G-13, Islamabad",3.3 Crore,4 Marla,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_your_search_for_good_location_house_in_islamabad_ends_here-43147989-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_your_ideal_good_location_1_kanal_house_has_just_become_available_in_dha_defence_phase_2-43147991-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_good_location_dha_defence_phase_2_house_for_sale_sized_1_kanal-43147992-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_ideally_located_good_location_house_of_1_kanal_is_available_for_sale_in_islamabad-43147986-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_want_to_buy_a_good_location_house_in_islamabad_-43147950-339-1.html,"DHA Defence Phase 2, DHA Defence",9.5 Crore,1 Kanal,6,6
Islamabad,House,zameen.com/Property/dha_defence_dha_defence_phase_2_1_kanal_brand_new_designing__stylish_and_luxury_bungalow_up_for_sale_-42688827-339-1.html,"DHA Defence Phase 2, DHA Defence",8.4 Crore,1 Kanal,6,7
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_c_sector_c_kanal_brand_new_house_for_sale-43080299-11973-1.html,"Bahria Enclave - Sector C, Bahria Enclave",7.5 Crore,1 Kanal,7,7
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_c_bahria_enclave_sector_c_house_sized_1_kanal-42985279-11973-1.html,"Bahria Enclave - Sector C, Bahria Enclave",7.75 Crore,1 Kanal,6,7
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_sector_a_10_marla_brand_new_house_for_sale-42499326-11970-1.html,"Bahria Enclave - Sector A, Bahria Enclave",4.85 Crore,10 Marla,5,5
Islamabad,House,zameen.com/Property/bahria_enclave_bahria_enclave_sector_a_sector_a_kanal_house_for_sale-42626963-11970-1.html,"Bahria Enclave - Sector A, Bahria Enclave",8 Crore,1 Kanal,7,6
Islamabad,House,zameen.com/Property/islamabad_g_13_30x60_7_marla_brand_new_proper_corner_house_for_sale_g_13_1-43116520-330-1.html,"G-13, Islamabad",4.95 Crore,7 Marla,5,5
Islamabad,House,zameen.com/Property/f_7_f_7_1_fully_furnished_new_house_with_handsome_rental_yield-43116477-3307-1.html,"F-7/1, F-7",29 Crore,1.1 Kanal,6,6
Islamabad,House,zameen.com/Property/islamabad_top_city_1_10_marla__designer_house_in_top_city__block_a_-43077132-1383-1.html,"Top City 1, Islamabad",4.8 Crore,10 Marla,6,6
Islamabad,House,zameen.com/Property/islamabad_bani_gala_double_story_beautiful_house_for_sale-42875299-340-1.html,"Bani Gala, Islamabad",3.1 Crore,14.5 Marla,6,6
